23:29:49.813 -> 17, 0.58, 0.97, 0.31, -17.26, 4.38, -15.42, 0.15, -0.38, 0.18, 5.75, -2.22, -0.52, 0.60, 1.21, 1.30, 30.47, 7.87, 4.95, 2
23:29:49.813 -> 18, 0.73, 0.37, -1.04, -20.19, -4.41, -9.56, -1.35, 0.52, -1.47, 2.33, 2.18, -8.33, 0.60, 0.46, 0.70, 2.15, -2.88, 13.74, 2
23:29:49.813 -> 19, 0.13, 0.97, -1.64, -20.19, -4.90, -9.56, -0.30, -0.38, -0.87, 5.26, -12.96, -3.45, -0.75, 0.76, -0.35, 3.13, -9.22, -8.72, 2
23:29:49.860 -> 20, 0.58, 1.27, 0.61, -8.96, -9.29, -11.51, -0.90, -0.23, -0.27, 7.70, -16.38, -16.63, 1.65, 0.76, 0.40, 10.94, -3.85, 0.07, 2
23:29:49.860 -> 21, 1.78, 0.52, -1.34, -21.17, -14.66, -6.14, 0.15, 0.37, -0.12, -10.85, -11.01, -4.91, 0.15, 0.46, 1.75, 6.55, 12.75, 3.97, 2
23:29:49.860 -> 22, 0.88, 2.02, -1.34, -16.77, -3.92, -12.00, 0.90, 1.12, -1.32, -1.08, -1.73, -5.89, -0.15, 1.21, 1.30, 6.06, 9.33, 2.51, 2
23:29:49.860 -> 23, 1.18, 1.42, -1.04, -28.98, -9.29, -7.11, 0.75, -0.23, -0.27, 0.38, 1.69, -7.35, 0.15, -0.14, 0.25, -8.10, 8.35, -6.77, 2
23:29:49.860 -> 24, 0.88, 0.97, -0.59, -12.38, -2.46, -14.44, -0.90, -1.43, 0.03, -8.90, -5.15, -5.40, 0.15, 0.16, -0.50, 2.15, 6.40, 1.53, 2
23:29:49.907 -> 25, 1.33, 0.52, -1.34, -17.75, -2.94, -14.93, -0.60, -0.68, -1.02, -11.34, -0.26, -6.38, 0.15, 1.66, 0.25, 8.50, -0.43, 9.35, 2
23:29:49.907 -> 26, 0.58, 0.97, -0.14, -12.38, 11.22, -2.23, -0.15, -0.98, 0.03, 10.63, -8.56, -7.35, 0.45, 0.76, 0.40, -3.71, -7.76, 5.44, 2
23:29:49.907 -> 27, 1.18, 1.87, -1.04, -8.47, -2.94, -13.46, 1.05, -0.23, -1.02, -5.97, -11.49, -15.17, 0.60, 0.16, -1.25, 6.55, 6.89, 0.07, 2
23:29:49.907 -> 28, -0.77, 0.97, -1.34, -15.80, 2.92, -12.97, -0.15, 0.07, 0.48, -2.06, -8.08, -21.51, 0.15, 1.96, 0.70, -11.03, -3.85, -1.88, 2
